Name,East,North
T014,791766.864,6957486.423
KOEP,812324.559,7056456.216
T015,777936.396,7125134.978
T016,923499.184,6993751.73
RIVE,794190.429,6864730.589
ARIA,975618.502,6879579.008
V003,752609.329,6903960.586
V004,833154.11,6927696.551
V005,918393.056,6949887.561
V006,976702.737,6945421.138
V007,869909.185,6896238.891
V008,919748.93,6889397.463
V009,756175.098,6819936.701
V010,815840.101,6799423.75
V011,865987.878,6847492.454
V012,920709.897,6813982.414
V013,735720.542,6866819.229
V014,963812.054,6839939.422
GOIS,909693.549,7512025.459
GROT,825896.806,7833839.296
OSHK,574848.593,8032762.406
SWOP,452175.319,7493295.269
