Name,Latitude,Longitude
KATM,-17.5037798,24.32157751
Linyanti,-18.06652582,24.02028031
Ngoma,-17.90915914,24.70733586
Kasika,-17.80892882,25.12332204
BAKO,-18.0421342,21.99427305
KB5,-18.01723201,22.37944192
KB1,-17.81150379,23.15926315
Sibinda,-17.76401595,23.8206164
Sangwali,-18.24188422,23.67423274
