Name,East,North
1718,181636.319,8049453.752
ARIA,386039.323,6888518.358
BAKO,605235.623,8004870.063
GRTF,193198.345,7836252.597
MARI,196288.869,7272518.563
MATA,399439.672,7149601.091
MUHO,392751.159,8019425.879
SWZK,261292.311,7481138.43
TSUM,499611.008,7835187.72
