Name,y,x
Kunenestein,102581.95,-504887.23
Ekuma,-102370.7,-394352.1
Mopane,-39649.4,-379938.6
Grootberg,67655.94,-237255.89
Tsairis,-104222.85,-264644.64
Kakombo,-76165.23,-136371.59
Brandberg,43804,-94178
Erongo,-84302.22,-34439.96
Spitzkoppe,-5433.81,-15952.26
Khomaspad,35390.21,81605.62
Rostock,-86345,158205
Satan,-92018.16,382965.4
Leuchtturn,-9308.83,513498.41
Bogenfels,-38425.2,603620.3
Buchuberg,-92269.8,654392.4
