Name,y,x
Khumib,59805.709,-347796.6
Mowebay,31017.625,-290091.715
Terracebay,-1092.524,-227041.168
Toscanini,-41123.256,-130447.715
Bocock,-91367.164,-48572.708
Hartmann,83535.3,-512185.9
Ehombo,-86643.14,-491194.99
Victor,-23030.1,-386483.6
Fahlkuppe,-100671.42,-387166.15
Goliat,-79756,-148868
Nahab,-99392.04,-218767.85
Oos,-103251,-101849
